Start	End	Chromosome	Name
577	647	MT	MT-TF
648	1601	MT	MT-RNR1
1602	1670	MT	MT-TV
1671	3229	MT	MT-RNR2
3230	3304	MT	MT-TL1
3307	4262	MT	MT-ND1
4263	4331	MT	MT-TI
4329	4400	MT	MT-TQ
4402	4469	MT	MT-TM
4470	5511	MT	MT-ND2
5512	5579	MT	MT-TW
5587	5655	MT	MT-TA
5657	5729	MT	MT-TN
5761	5826	MT	MT-TC
5826	5891	MT	MT-TY
5904	7445	MT	MT-CO1
7446	7514	MT	MT-TS1
7518	7585	MT	MT-TD
7586	8269	MT	MT-CO2
8295	8364	MT	MT-TK
8366	8572	MT	MT-ATP8
8527	9207	MT	MT-ATP6
9207	9990	MT	MT-CO3
9991	10058	MT	MT-TG
10059	10404	MT	MT-ND3
10405	10469	MT	MT-TR
10470	10766	MT	MT-ND4L
10760	12137	MT	MT-ND4
12138	12206	MT	MT-TH
12207	12265	MT	MT-TS2
12266	12336	MT	MT-TL2
12337	14148	MT	MT-ND5
14149	14673	MT	MT-ND6
14674	14742	MT	MT-TE
14747	15887	MT	MT-CYB
15888	15953	MT	MT-TT
15956	16023	MT	MT-TP
380608	380726	KI270442.1	5S_rRNA
56140	58376	GL000009.2	
4612	29626	KI270711.1	
217250	217401	KI270442.1	5_8S_rRNA
51009	51114	KI270744.1	U6
105287	105376	GL000220.1	
112025	112177	GL000220.1	RNA5-8SN5
155997	156149	GL000220.1	5_8S_rRNA
149259	149348	GL000220.1	
59711	60316	KI270734.1	
138082	161852	KI270734.1	PRODH
108007	139659	GL000213.1	
131494	137392	KI270734.1	
72411	74814	KI270734.1	
127840	127946	GL000213.1	U6
37434	37534	GL000195.1	Y_RNA
42939	49164	GL000195.1	
30437	30580	KI270713.1	U1
35407	35916	KI270713.1	
31698	32528	KI270713.1	
21861	22024	KI270713.1	U1
10598	13001	KI270731.1	
26533	27138	KI270731.1	
148668	148843	KI270750.1	U1
54224	83311	GL000219.1	
51867	54893	GL000218.1	
53590	115018	GL000194.1	
53594	115055	GL000194.1	MAFIP
167218	167307	KI270733.1	
